Id,Followers,Following,Retweet Count,is_retweet,is_mention,Betweenness,Degree,Closeness,Influence Score
Thorne75658284,980.0,1136.0,17.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,8709.50240432905
JDoPinkie,1004.0,1021.0,45.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,8702.249299329049
NizamUl84879653,594.0,2840.0,89.0,1.0,0.0,0.0,0.0009881422924901185,0.0017786561264822131,8611.400547627865
planetaosasco,1202.0,7.0,0.0,0.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,8535.77857332905
Maurieres1,873.0,1485.0,7.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,8490.729688329051
wuwuwu6464,1110.0,398.0,0.0,0.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,8488.61622232905
AndriyBoguslav,1169.0,71.0,71.2,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,8402.263459529051
SeanMConnolly,357.0,3762.0,66.0,1.0,0.0,0.0,0.0009881422924901185,0.0013175230566534913,8357.456769870223
LaurieTMiller,886.0,1257.0,12.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,8230.05188732905
rickoshields,891.0,1203.0,817.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,8198.29151232905
Daniel_jimenezc,326.0,3774.0,203.5,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,8158.970201329052
THEMissB_says,229.0,4110.0,38.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,7987.830597329052
ActualResearch4,735.0,1783.0,16.0,1.0,0.0,0.0,0.0009881422924901185,0.0013175230566534913,7973.527478870224
ThePlejaren,910.0,857.0,0.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,7780.76076732905
sarapeters_99,380.0,3269.0,7.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,7756.13775932905
ishwarlal1998,864.0,896.0,17.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,7515.239216329051
TherealUncle_J,946.0,482.0,195.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,7459.4926603290505
secret007au,646.0,1605.0,10.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,7066.61881532905
ClearBlueSee,947.0,220.0,97.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,7058.974435329052
Savonarola26,553.0,1923.0,0.0,0.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,6899.145396329051
Lostpassword7,633.0,1544.0,2.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,6879.81878332905
mccann01778,836.0,571.0,61.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,6814.399861329051
